ProMAX Data Export: List/Table - 213_hor-03
Area: 2021_training    Line: thubl_line213
  LINE_NO       CDP         Z
---------+---------+---------+---------+---------+---------+
      213      1330   3812.68
      213      1335   3813.90
      213      1340   3815.12
      213      1345   3816.35
      213      1350   3817.57
      213      1355   3818.79
      213      1360   3820.01
      213      1365   3821.24
      213      1370   3822.46
      213      1375   3823.68
      213      1380   3824.90
      213      1385   3826.13
      213      1390   3827.35
      213      1395   3828.57
      213      1400   3829.79
      213      1405   3831.02
      213      1410   3832.24
      213      1415   3833.46
      213      1420   3834.68
      213      1425   3835.91
      213      1430   3837.13
      213      1435   3838.35
      213      1440   3839.57
      213      1445   3840.79
      213      1450   3842.02
      213      1455   3843.24
      213      1460   3844.46
      213      1465   3845.68
      213      1470   3846.91
      213      1475   3848.13
      213      1480   3849.35
      213      1485   3850.57
      213      1490   3851.80
      213      1495   3853.02
      213      1500   3854.24
      213      1505   3855.46
      213      1510   3856.69
      213      1515   3857.91
      213      1520   3859.13
      213      1525   3860.35
      213      1530   3861.58
      213      1535   3862.80
      213      1540   3864.02
      213      1545   3865.24
      213      1550   3866.46
      213      1555   3867.69
      213      1560   3868.91
      213      1565   3870.13
      213      1570   3871.35
      213      1575   3872.58
      213      1580   3873.80
      213      1585   3875.02
      213      1590   3876.24
      213      1595   3877.47
      213      1600   3878.69
      213      1605   3879.91
      213      1610   3881.13
      213      1615   3882.36
      213      1620   3883.58
      213      1625   3884.80
      213      1630   3886.02
      213      1635   3887.25
      213      1640   3888.47
      213      1645   3889.69
      213      1650   3890.91
      213      1655   3892.13
      213      1660   3893.36
      213      1665   3894.58
      213      1670   3895.80
      213      1675   3897.02
      213      1680   3898.25
      213      1685   3899.47
      213      1690   3900.69
      213      1695   3901.91
      213      1700   3903.14
      213      1705   3904.36
      213      1710   3905.58
      213      1715   3906.80
      213      1720   3908.03
      213      1725   3909.25
      213      1730   3910.47
      213      1735   3911.63
      213      1740   3912.73
      213      1745   3913.77
      213      1750   3914.75
      213      1755   3915.67
      213      1760   3916.53
      213      1765   3917.32
      213      1770   3918.06
      213      1775   3918.73
      213      1780   3919.34
      213      1785   3919.90
      213      1790   3920.39
      213      1795   3920.82
      213      1800   3921.19
      213      1805   3921.49
      213      1810   3921.80
      213      1815   3922.11
      213      1820   3922.42
      213      1825   3922.73
      213      1830   3923.04
      213      1835   3923.34
      213      1840   3923.65
      213      1845   3923.96
      213      1850   3924.27
      213      1855   3924.58
      213      1860   3924.89
      213      1865   3925.20
      213      1870   3925.50
      213      1875   3925.81
      213      1880   3926.12
      213      1885   3926.43
      213      1890   3926.74
      213      1895   3927.05
      213      1900   3927.35
      213      1905   3927.66
      213      1910   3927.97
      213      1915   3928.28
      213      1920   3928.59
      213      1925   3928.90
      213      1930   3929.20
      213      1935   3929.51
      213      1940   3929.82
      213      1945   3930.13
      213      1950   3930.44
      213      1955   3930.75
      213      1960   3931.05
      213      1965   3931.36
      213      1970   3931.67
      213      1975   3931.98
      213      1980   3932.29
      213      1985   3932.60
      213      1990   3932.91
      213      1995   3933.21
      213      2000   3933.52
      213      2005   3933.83
      213      2010   3934.14
      213      2015   3934.45
      213      2020   3934.76
      213      2025   3935.06
      213      2030   3935.37
      213      2035   3935.68
      213      2040   3935.99
      213      2045   3936.30
      213      2050   3936.61
      213      2055   3936.91
      213      2060   3937.22
      213      2065   3937.53
      213      2070   3937.84
      213      2075   3938.15
      213      2080   3938.46
      213      2085   3938.77
      213      2090   3939.07
      213      2095   3939.38
      213      2100   3939.69
      213      2105   3940.00
      213      2110   3940.31
      213      2115   3940.62
      213      2120   3940.92
      213      2125   3941.23
      213      2130   3941.54
      213      2135   3941.85
      213      2140   3942.16
      213      2145   3942.47
      213      2150   3942.77
      213      2155   3943.08
      213      2160   3943.39
      213      2165   3943.70
      213      2170   3944.01
      213      2175   3944.32
