ProMAX Data Export: List/Table - 213_hor-04
Area: 2021_training    Line: thubl_line213
  LINE_NO       CDP         Z
---------+---------+---------+---------+---------+---------+
      213      1515   5504.40
      213      1520   5505.01
      213      1525   5505.61
      213      1530   5506.22
      213      1535   5506.82
      213      1540   5507.43
      213      1545   5508.04
      213      1550   5508.64
      213      1555   5509.25
      213      1560   5509.86
      213      1565   5510.46
      213      1570   5511.07
      213      1575   5511.67
      213      1580   5512.28
      213      1585   5512.89
      213      1590   5513.49
      213      1595   5514.10
      213      1600   5514.71
      213      1605   5515.31
      213      1610   5515.92
      213      1615   5516.52
      213      1620   5517.13
      213      1625   5517.74
      213      1630   5518.34
      213      1635   5518.95
      213      1640   5519.55
      213      1645   5520.16
      213      1650   5520.77
      213      1655   5521.37
      213      1660   5521.98
      213      1665   5522.59
      213      1670   5523.19
      213      1675   5523.80
      213      1680   5524.40
      213      1685   5525.01
      213      1690   5525.62
      213      1695   5526.22
      213      1700   5526.83
      213      1705   5527.44
      213      1710   5528.04
      213      1715   5528.65
      213      1720   5529.25
      213      1725   5529.86
      213      1730   5530.47
      213      1735   5531.07
      213      1740   5531.68
      213      1745   5532.29
      213      1750   5532.89
      213      1755   5533.50
      213      1760   5534.10
      213      1765   5534.71
      213      1770   5535.32
      213      1775   5535.92
      213      1780   5536.53
      213      1785   5537.13
      213      1790   5537.74
      213      1795   5538.35
      213      1800   5538.95
      213      1805   5539.56
      213      1810   5540.17
      213      1815   5540.77
      213      1820   5541.38
      213      1825   5541.98
      213      1830   5542.59
      213      1835   5543.20
      213      1840   5543.80
      213      1845   5544.41
      213      1850   5545.02
      213      1855   5545.62
      213      1860   5546.23
      213      1865   5546.83
      213      1870   5547.44
      213      1875   5548.05
      213      1880   5548.65
      213      1885   5549.26
      213      1890   5549.86
      213      1895   5550.47
      213      1900   5551.08
      213      1905   5551.68
      213      1910   5552.29
      213      1915   5552.90
      213      1920   5553.50
      213      1925   5554.11
      213      1930   5554.71
      213      1935   5555.32
      213      1940   5555.93
      213      1945   5556.53
      213      1950   5557.14
      213      1955   5557.75
      213      1960   5558.35
      213      1965   5558.96
      213      1970   5559.56
      213      1975   5560.17
      213      1980   5560.78
      213      1985   5561.38
      213      1990   5561.99
      213      1995   5562.59
      213      2000   5563.20
      213      2005   5563.81
      213      2010   5564.41
      213      2015   5565.02
      213      2020   5565.63
      213      2025   5566.23
      213      2030   5566.84
      213      2035   5567.44
      213      2040   5568.05
      213      2045   5568.66
      213      2050   5569.26
      213      2055   5569.87
      213      2060   5570.48
      213      2065   5571.08
      213      2070   5571.69
      213      2075   5572.29
      213      2080   5572.90
      213      2085   5573.51
      213      2090   5574.11
      213      2095   5574.72
      213      2100   5575.32
      213      2105   5575.93
      213      2110   5576.54
      213      2115   5577.14
      213      2120   5577.75
      213      2125   5578.36
      213      2130   5578.96
      213      2135   5579.57
      213      2140   5580.17
      213      2145   5580.78
      213      2150   5581.39
      213      2155   5581.99
      213      2160   5582.60
      213      2165   5583.21
      213      2170   5583.81
      213      2175   5584.42
      213      2180   5585.02
      213      2185   5585.63
      213      2190   5586.24
      213      2195   5586.84
      213      2200   5587.45
      213      2205   5588.05
      213      2210   5588.66
      213      2215   5589.27
      213      2220   5589.87
      213      2225   5590.48
      213      2230   5591.09
      213      2235   5591.69
      213      2240   5592.30
      213      2245   5592.90
      213      2250   5593.51
      213      2255   5594.12
      213      2260   5594.72
      213      2265   5595.33
      213      2270   5595.94
      213      2275   5596.54
      213      2280   5597.15
      213      2285   5597.75
      213      2290   5598.36
      213      2295   5598.97
      213      2300   5599.57
      213      2305   5600.18
      213      2310   5600.79
      213      2315   5601.39
      213      2320   5602.00
      213      2325   5602.69
      213      2330   5603.47
      213      2335   5604.34
      213      2340   5605.29
      213      2345   5606.33
      213      2350   5607.46
      213      2355   5608.67
      213      2360   5609.97
      213      2365   5611.35
      213      2370   5612.83
      213      2375   5614.39
      213      2380   5616.03
      213      2385   5617.77
      213      2390   5619.59
      213      2395   5621.49
      213      2400   5623.40
      213      2405   5625.30
      213      2410   5627.21
      213      2415   5629.12
      213      2420   5631.02
      213      2425   5632.93
      213      2430   5634.84
      213      2435   5636.74
      213      2440   5638.65
      213      2445   5640.56
      213      2450   5642.46
      213      2455   5644.37
      213      2460   5646.28
      213      2465   5648.18
      213      2470   5650.09
      213      2475   5651.99
      213      2480   5653.90
      213      2485   5655.81
      213      2490   5657.71
      213      2495   5659.62
      213      2500   5661.53
      213      2505   5663.43
      213      2510   5665.34
      213      2515   5667.25
      213      2520   5669.15
      213      2525   5671.06
      213      2530   5672.96
      213      2535   5674.87
      213      2540   5676.78
      213      2545   5678.68
      213      2550   5680.59
      213      2555   5682.50
      213      2560   5684.40
      213      2565   5686.31
      213      2570   5688.22
      213      2575   5690.12
