ProMAX Data Export: List/Table - 213_hor-02
Area: 2021_training    Line: thubl_line213
  LINE_NO       CDP         Z
---------+---------+---------+---------+---------+---------+
      213       155   1608.49
      213       160   1608.51
      213       165   1608.54
      213       170   1608.56
      213       175   1608.59
      213       180   1608.62
      213       185   1608.64
      213       190   1608.67
      213       195   1608.69
      213       200   1608.72
      213       205   1608.75
      213       210   1608.77
      213       215   1608.80
      213       220   1608.82
      213       225   1608.85
      213       230   1608.88
      213       235   1608.90
      213       240   1608.93
      213       245   1608.95
      213       250   1608.98
      213       255   1609.01
      213       260   1609.03
      213       265   1609.06
      213       270   1609.08
      213       275   1609.11
      213       280   1609.13
      213       285   1609.16
      213       290   1609.19
      213       295   1609.21
      213       300   1609.24
      213       305   1609.26
      213       310   1609.29
      213       315   1609.32
      213       320   1609.34
      213       325   1609.37
      213       330   1609.39
      213       335   1609.42
      213       340   1609.45
      213       345   1609.47
      213       350   1609.50
      213       355   1609.52
      213       360   1609.55
      213       365   1609.58
      213       370   1609.60
      213       375   1609.63
      213       380   1609.65
      213       385   1609.68
      213       390   1609.71
      213       395   1609.73
      213       400   1609.76
      213       405   1609.78
      213       410   1609.81
      213       415   1609.84
      213       420   1609.86
      213       425   1609.89
      213       430   1609.91
      213       435   1609.94
      213       440   1609.97
      213       445   1609.99
      213       450   1610.02
      213       455   1610.04
      213       460   1610.07
      213       465   1610.10
      213       470   1610.12
      213       475   1610.15
      213       480   1610.17
      213       485   1610.20
      213       490   1610.23
      213       495   1610.25
      213       500   1610.28
      213       505   1610.30
      213       510   1610.33
      213       515   1610.35
      213       520   1610.38
      213       525   1610.41
      213       530   1610.43
      213       535   1610.46
      213       540   1610.48
      213       545   1610.51
      213       550   1610.54
      213       555   1610.56
      213       560   1610.59
      213       565   1610.61
      213       570   1610.64
      213       575   1610.67
      213       580   1610.69
      213       585   1610.72
      213       590   1610.74
      213       595   1610.77
      213       600   1610.80
      213       605   1610.82
      213       610   1610.85
      213       615   1610.87
      213       620   1610.90
      213       625   1610.93
      213       630   1610.95
      213       635   1610.98
      213       640   1611.00
      213       645   1611.03
      213       650   1611.06
      213       655   1611.08
      213       660   1611.11
      213       665   1611.13
      213       670   1611.16
      213       675   1611.19
      213       680   1611.21
      213       685   1611.24
      213       690   1611.26
      213       695   1611.29
      213       700   1611.32
      213       705   1611.34
      213       710   1611.37
      213       715   1611.39
      213       720   1611.42
      213       725   1611.45
      213       730   1611.47
      213       735   1611.50
      213       740   1611.52
      213       745   1611.55
      213       750   1611.58
      213       755   1611.63
      213       760   1611.69
      213       765   1611.75
      213       770   1611.83
      213       775   1611.91
      213       780   1612.01
      213       785   1612.11
      213       790   1612.22
      213       795   1612.35
      213       800   1612.48
      213       805   1612.63
      213       810   1612.78
      213       815   1612.94
      213       820   1613.12
      213       825   1613.29
      213       830   1613.46
      213       835   1613.63
      213       840   1613.81
      213       845   1613.98
      213       850   1614.15
      213       855   1614.33
      213       860   1614.50
      213       865   1614.67
      213       870   1614.85
      213       875   1615.02
      213       880   1615.19
      213       885   1615.37
      213       890   1615.54
      213       895   1615.71
      213       900   1615.88
      213       905   1616.06
      213       910   1616.23
      213       915   1616.40
      213       920   1616.58
      213       925   1616.75
      213       930   1616.92
      213       935   1617.10
      213       940   1617.27
      213       945   1617.44
      213       950   1617.61
      213       955   1617.79
      213       960   1617.96
      213       965   1618.13
      213       970   1618.31
      213       975   1618.48
      213       980   1618.65
      213       985   1618.83
      213       990   1619.00
      213       995   1619.17
      213      1000   1619.35
      213      1005   1619.52
      213      1010   1619.69
      213      1015   1619.86
      213      1020   1620.04
      213      1025   1620.21
      213      1030   1620.38
      213      1035   1620.56
      213      1040   1620.73
      213      1045   1620.90
      213      1050   1621.08
      213      1055   1621.25
      213      1060   1621.42
      213      1065   1621.60
      213      1070   1621.77
      213      1075   1621.94
      213      1080   1622.11
